LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",M,Monthly,2020-04,Apr-20,PC,Percentage,0,Units,,,6.353878,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",M,Monthly,2020-05,May-20,PC,Percentage,0,Units,,,7.062555,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",M,Monthly,2020-06,Jun-20,PC,Percentage,0,Units,,,7.435485,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",M,Monthly,2020-07,Jul-20,PC,Percentage,0,Units,,,7.480891,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",M,Monthly,2020-08,Aug-20,PC,Percentage,0,Units,,,6.809101,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",M,Monthly,2020-09,Sep-20,PC,Percentage,0,Units,,,6.914853,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",M,Monthly,2020-10,Oct-20,PC,Percentage,0,Units,,,6.987514,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",M,Monthly,2020-11,Nov-20,PC,Percentage,0,Units,,,6.825236,,
AUS,Australia,LRHUTTTT,"Unemployment rate (monthly), Total, All persons",STSA,"Level, rate or quantity series, s.a.",M,Monthly,2020-12,Dec-20,PC,Percentage,0,Units,,,6.597738,,
AUT,Austria,LRHUTTFE,"Unemployment rate (monthly), Total, Females",STSA,"Level, rate or quantity series, s.a.",M,Monthly,2019-01,Jan-19,PC,Percentage,0,Units,,,4.7,,
AUT,Austria,LRHUTTFE,"Unemployment rate (monthly), Total, Females",STSA,"Level, rate or quantity series, s.a.",M,Monthly,2019-02,Feb-19,PC,Percentage,0,Units,,,4.7,,
AUT,Austria,LRHUTTFE,"Unemployment rate (monthly), Total, Females",STSA,"Level, rate or quantity series, s.a.",M,Monthly,2019-03,Mar-19,PC,Percentage,0,Units,,,4.8,,
AUT,Austria,LRHUTTFE,"Unemployment rate (monthly), Total, Females",STSA,"Level, rate or quantity series, s.a.",M,Monthly,2019-04,Apr-19,PC,Percentage,0,Units,,,4.7,,
AUT,Austria,LRHUTTFE,"Unemployment rate (monthly), Total, Females",STSA,"Level, rate or quantity series, s.a.",M,Monthly,2019-05,May-19,PC,Percentage,0,Units,,,4.5,,
AUT,Austria,LRHUTTFE,"Unemployment rate (monthly), Total, Females",STSA,"Level, rate or quantity series, s.a.",M,Monthly,2019-06,Jun-19,PC,Percentage,0,Units,,,4.2,,
AUT,Austria,LRHUTTFE,"Unemployment rate (monthly), Total, Females",STSA,"Level, rate or quantity series, s.a.",M,Monthly,2019-07,Jul-19,PC,Percentage,0,Units,,,4.3,,
